"iso2","date","internet_online_model_prediction","internet_offline_model_prediction","internet_online_offline_model_prediction","ground_truth_internet_gg","mobile_online_model_prediction","mobile_offline_model_prediction","mobile_online_offline_model_prediction","ground_truth_mobile_gg"
LK,202207,0.745,0.832,0.757,,0.836,0.95,0.898,
LR,202207,0.886,0.522,0.785,,0.932,0.659,0.809,
LS,202207,1.0,0.803,0.963,,1.0,0.878,1.0,
LT,202207,0.992,1.0,1.0,1.0,1.0,1.0,0.959,1.0
LU,202207,0.986,1.0,1.0,0.997,1.0,1.0,1.0,
LV,202207,1.0,1.0,1.0,0.996,1.0,1.0,0.977,
LY,202207,0.807,,,,0.879,,,
MA,202207,0.773,0.828,0.859,0.907,0.856,0.866,0.898,1.0
MC,202207,,,,,,,,
MD,202207,1.0,0.861,1.0,0.88,1.0,0.922,1.0,
ME,202207,0.909,0.897,0.923,0.925,0.948,0.972,0.965,0.979
MG,202207,0.894,0.666,0.808,,0.938,0.797,0.901,
MH,202207,,,,,,,,
MK,202207,0.888,0.922,0.884,0.958,0.933,,0.948,0.929
ML,202207,0.633,0.551,0.618,,0.761,0.644,0.671,
MM,202207,0.855,0.837,0.854,,0.911,0.894,0.931,0.851
MN,202207,1.0,0.914,1.0,,1.0,0.975,1.0,
MO,202207,1.0,,,0.999,1.0,,,1.0
MR,202207,0.747,0.69,0.777,,0.838,0.774,0.809,
MT,202207,0.921,0.946,0.983,0.962,0.956,1.0,0.966,
MU,202207,0.923,0.941,0.953,0.9,0.957,0.981,0.986,0.908
MV,202207,0.99,0.934,0.973,,1.0,0.944,1.0,0.987
MW,202207,0.723,0.68,0.641,0.314,0.822,0.768,0.819,0.63
MX,202207,0.992,0.922,1.0,0.966,1.0,0.972,0.992,1.0
MY,202207,0.948,0.953,0.953,0.955,0.974,,0.995,0.982
MZ,202207,0.795,0.669,0.701,,0.871,0.751,0.816,0.75
NA,202207,,0.864,,,,0.95,,
NE,202207,0.581,,,0.331,0.726,,,0.723
NG,202207,0.827,0.685,0.837,0.744,0.892,0.747,0.814,0.944
NI,202207,0.938,0.85,,,0.967,0.914,0.934,
NL,202207,1.0,0.962,1.0,0.972,1.0,1.0,1.0,0.983
NO,202207,1.0,0.982,1.0,0.984,1.0,1.0,0.973,
NP,202207,0.753,0.697,0.731,,0.842,0.802,0.816,0.813
NR,202207,,,,,,,,
NZ,202207,1.0,0.94,1.0,,1.0,1.0,0.981,
OM,202207,0.824,0.985,0.818,0.932,0.89,1.0,0.986,0.938
PA,202207,0.981,0.987,0.971,1.0,0.997,0.989,0.981,1.0
PE,202207,0.929,0.892,0.954,0.891,0.962,0.946,0.964,0.949
PG,202207,0.803,,,,0.876,,,
PH,202207,1.0,0.899,1.0,,1.0,0.941,0.978,1.0
PK,202207,0.599,0.635,0.603,0.617,0.738,0.741,0.738,0.641
PL,202207,1.0,0.953,0.995,0.987,1.0,1.0,0.991,1.0
PT,202207,0.963,0.948,1.0,0.94,0.984,0.997,0.962,
PW,202207,,,,,,,,
PY,202207,0.973,0.868,0.965,1.0,0.991,0.94,1.0,1.0
QA,202207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999
RO,202207,0.97,0.953,0.996,0.95,0.989,1.0,0.989,
RS,202207,0.962,0.905,1.0,0.918,0.984,0.964,0.979,0.986
RU,202207,,1.0,,0.988,,1.0,,1.0
RW,202207,0.732,0.76,0.706,,0.828,0.818,0.775,0.617
