gid_1,gid_0,survey_year,outcome,observed,source
IND.11_1,IND,2020,internet_women,28.7,dhs
IND.11_1,IND,2020,internet_men,54.6,dhs
IND.11_1,IND,2020,internet_fm_ratio,0.499,dhs
IND.11_1,IND,2020,mobile_women,46.5,dhs
IND.11_1,IND,2020,mobile_men,90.8,dhs
IND.11_1,IND,2020,mobile_fm_ratio,0.512,dhs
IND.12_1,IND,2020,internet_women,49.5,dhs
IND.12_1,IND,2020,internet_men,69.4,dhs
IND.12_1,IND,2020,internet_fm_ratio,0.677,dhs
IND.12_1,IND,2020,mobile_women,50.6,dhs
IND.12_1,IND,2020,mobile_men,90.7,dhs
IND.12_1,IND,2020,mobile_fm_ratio,0.558,dhs
IND.13_1,IND,2020,internet_women,48.5,dhs
IND.13_1,IND,2020,internet_men,64,dhs
IND.13_1,IND,2020,internet_fm_ratio,0.721,dhs
IND.13_1,IND,2020,mobile_women,78.5,dhs
IND.13_1,IND,2020,mobile_men,96.6,dhs
IND.13_1,IND,2020,mobile_fm_ratio,0.812,dhs
IND.15_1,IND,2020,internet_women,32.1,dhs
IND.15_1,IND,2020,internet_men,55.6,dhs
IND.15_1,IND,2020,internet_fm_ratio,0.549,dhs
IND.15_1,IND,2020,mobile_women,49.2,dhs
IND.15_1,IND,2020,mobile_men,87.9,dhs
IND.15_1,IND,2020,mobile_fm_ratio,0.559,dhs
IND.16_1,IND,2020,internet_women,34.4,dhs
IND.16_1,IND,2020,internet_men,56.2,dhs
IND.16_1,IND,2020,internet_fm_ratio,0.582,dhs
IND.16_1,IND,2020,mobile_women,60.1,dhs
IND.16_1,IND,2020,mobile_men,93.9,dhs
IND.16_1,IND,2020,mobile_fm_ratio,0.64,dhs
IND.17_1,IND,2020,internet_women,61.5,dhs
IND.17_1,IND,2020,internet_men,73.1,dhs
IND.17_1,IND,2020,internet_fm_ratio,0.799,dhs
IND.17_1,IND,2020,mobile_women,87.2,dhs
IND.17_1,IND,2020,mobile_men,97.3,dhs
IND.17_1,IND,2020,mobile_fm_ratio,0.896,dhs
IND.18_1,IND,2020,internet_women,52.4,dhs
IND.18_1,IND,2020,internet_men,81.2,dhs
IND.18_1,IND,2020,internet_fm_ratio,0.613,dhs
IND.18_1,IND,2020,mobile_women,82.7,dhs
IND.18_1,IND,2020,mobile_men,97,dhs
IND.18_1,IND,2020,mobile_fm_ratio,0.852,dhs
IND.19_1,IND,2020,internet_women,27.5,dhs
IND.19_1,IND,2020,internet_men,53.2,dhs
IND.19_1,IND,2020,internet_fm_ratio,0.491,dhs
IND.19_1,IND,2020,mobile_women,39.3,dhs
IND.19_1,IND,2020,mobile_men,88.2,dhs
IND.19_1,IND,2020,mobile_fm_ratio,0.445,dhs
IND.2_1,IND,2020,internet_women,20.8,dhs
IND.2_1,IND,2020,internet_men,45.4,dhs
IND.2_1,IND,2020,internet_fm_ratio,0.436,dhs
IND.2_1,IND,2020,mobile_women,48.8,dhs
IND.2_1,IND,2020,mobile_men,94.9,dhs
IND.2_1,IND,2020,mobile_fm_ratio,0.515,dhs
IND.20_1,IND,2020,internet_women,38.9,dhs
IND.20_1,IND,2020,internet_men,59.8,dhs
IND.20_1,IND,2020,internet_fm_ratio,0.618,dhs
IND.20_1,IND,2020,mobile_women,55.1,dhs
IND.20_1,IND,2020,mobile_men,94.7,dhs
IND.20_1,IND,2020,mobile_fm_ratio,0.582,dhs
IND.21_1,IND,2020,internet_women,43.6,dhs
IND.21_1,IND,2020,internet_men,69.2,dhs
IND.21_1,IND,2020,internet_fm_ratio,0.599,dhs
IND.21_1,IND,2020,mobile_women,72.7,dhs
IND.21_1,IND,2020,mobile_men,91.5,dhs
IND.21_1,IND,2020,mobile_fm_ratio,0.795,dhs
IND.22_1,IND,2020,internet_women,33.6,dhs
IND.22_1,IND,2020,internet_men,39.6,dhs
IND.22_1,IND,2020,internet_fm_ratio,0.807,dhs
IND.22_1,IND,2020,mobile_women,66.6,dhs
IND.22_1,IND,2020,mobile_men,86.2,dhs
IND.22_1,IND,2020,mobile_fm_ratio,0.772,dhs
IND.23_1,IND,2020,internet_women,69.9,dhs
IND.23_1,IND,2020,internet_men,77.4,dhs
IND.23_1,IND,2020,internet_fm_ratio,0.857,dhs
IND.23_1,IND,2020,mobile_women,82.7,dhs
IND.23_1,IND,2020,mobile_men,91.9,dhs
IND.23_1,IND,2020,mobile_fm_ratio,0.9,dhs
IND.24_1,IND,2020,internet_women,48.5,dhs
IND.24_1,IND,2020,internet_men,60.5,dhs
IND.24_1,IND,2020,internet_fm_ratio,0.762,dhs
IND.24_1,IND,2020,mobile_women,81.9,dhs
IND.24_1,IND,2020,mobile_men,94.9,dhs
IND.24_1,IND,2020,mobile_fm_ratio,0.863,dhs
IND.25_1,IND,2020,internet_women,64.8,dhs
IND.25_1,IND,2020,internet_men,82.4,dhs
IND.25_1,IND,2020,internet_fm_ratio,0.747,dhs
IND.25_1,IND,2020,mobile_women,74.2,dhs
IND.25_1,IND,2020,mobile_men,95.5,dhs
IND.25_1,IND,2020,mobile_fm_ratio,0.777,dhs
IND.26_1,IND,2020,internet_women,24.7,dhs
IND.26_1,IND,2020,internet_men,48.1,dhs
IND.26_1,IND,2020,internet_fm_ratio,0.489,dhs
IND.26_1,IND,2020,mobile_women,50.4,dhs
IND.26_1,IND,2020,mobile_men,86.7,dhs
IND.26_1,IND,2020,mobile_fm_ratio,0.582,dhs
IND.27_1,IND,2020,internet_women,68.3,dhs
IND.27_1,IND,2020,internet_men,79.8,dhs
IND.27_1,IND,2020,internet_fm_ratio,0.813,dhs
IND.27_1,IND,2020,mobile_women,88.2,dhs
IND.27_1,IND,2020,mobile_men,88.9,dhs
IND.27_1,IND,2020,mobile_fm_ratio,0.991,dhs
IND.28_1,IND,2020,internet_women,54.4,dhs
IND.28_1,IND,2020,internet_men,74,dhs
IND.28_1,IND,2020,internet_fm_ratio,0.698,dhs
IND.28_1,IND,2020,mobile_women,61.5,dhs
IND.28_1,IND,2020,mobile_men,93.5,dhs
IND.28_1,IND,2020,mobile_fm_ratio,0.658,dhs
IND.29_1,IND,2020,internet_women,37,dhs
IND.29_1,IND,2020,internet_men,62,dhs
IND.29_1,IND,2020,internet_fm_ratio,0.566,dhs
IND.29_1,IND,2020,mobile_women,50,dhs
IND.29_1,IND,2020,mobile_men,91.6,dhs
IND.29_1,IND,2020,mobile_fm_ratio,0.546,dhs
IND.3_1,IND,2020,internet_women,57.8,dhs
IND.3_1,IND,2020,internet_men,68.9,dhs
IND.3_1,IND,2020,internet_fm_ratio,0.797,dhs
IND.3_1,IND,2020,mobile_women,75.7,dhs
IND.3_1,IND,2020,mobile_men,91.4,dhs
IND.3_1,IND,2020,mobile_fm_ratio,0.828,dhs
IND.30_1,IND,2020,internet_women,78,dhs
IND.30_1,IND,2020,internet_men,75.2,dhs
IND.30_1,IND,2020,internet_fm_ratio,0.986,dhs
IND.30_1,IND,2020,mobile_women,89.3,dhs
IND.30_1,IND,2020,mobile_men,95.7,dhs
IND.30_1,IND,2020,mobile_fm_ratio,0.933,dhs
IND.31_1,IND,2020,internet_women,45.9,dhs
IND.31_1,IND,2020,internet_men,65.5,dhs
IND.31_1,IND,2020,internet_fm_ratio,0.665,dhs
IND.31_1,IND,2020,mobile_women,75.1,dhs
IND.31_1,IND,2020,mobile_men,94,dhs
IND.31_1,IND,2020,mobile_fm_ratio,0.799,dhs
IND.32_1,IND,2020,internet_women,24.3,dhs
IND.32_1,IND,2020,internet_men,50.9,dhs
IND.32_1,IND,2020,internet_fm_ratio,0.454,dhs
IND.32_1,IND,2020,mobile_women,58.7,dhs
IND.32_1,IND,2020,mobile_men,95.8,dhs
IND.32_1,IND,2020,mobile_fm_ratio,0.613,dhs
IND.33_1,IND,2020,internet_women,22.4,dhs
IND.33_1,IND,2020,internet_men,42.4,dhs
IND.33_1,IND,2020,internet_fm_ratio,0.502,dhs
IND.33_1,IND,2020,mobile_women,53.4,dhs
IND.33_1,IND,2020,mobile_men,89.5,dhs
IND.33_1,IND,2020,mobile_fm_ratio,0.596,dhs
IND.34_1,IND,2020,internet_women,31,dhs
IND.34_1,IND,2020,internet_men,56.8,dhs
IND.34_1,IND,2020,internet_fm_ratio,0.519,dhs
IND.34_1,IND,2020,mobile_women,46.4,dhs
IND.34_1,IND,2020,mobile_men,89.1,dhs
IND.34_1,IND,2020,mobile_fm_ratio,0.521,dhs
IND.35_1,IND,2020,internet_women,46,dhs
IND.35_1,IND,2020,internet_men,70.4,dhs
IND.35_1,IND,2020,internet_fm_ratio,0.621,dhs
IND.35_1,IND,2020,mobile_women,60.9,dhs
IND.35_1,IND,2020,mobile_men,89.1,dhs
IND.35_1,IND,2020,mobile_fm_ratio,0.683,dhs
IND.36_1,IND,2020,internet_women,24.9,dhs
IND.36_1,IND,2020,internet_men,44.1,dhs
IND.36_1,IND,2020,internet_fm_ratio,0.537,dhs
IND.36_1,IND,2020,mobile_women,49.6,dhs
IND.36_1,IND,2020,mobile_men,89.9,dhs
IND.36_1,IND,2020,mobile_fm_ratio,0.552,dhs
IND.4_1,IND,2020,internet_women,28,dhs
IND.4_1,IND,2020,internet_men,40.7,dhs
IND.4_1,IND,2020,internet_fm_ratio,0.654,dhs
IND.4_1,IND,2020,mobile_women,57,dhs
IND.4_1,IND,2020,mobile_men,89.6,dhs
IND.4_1,IND,2020,mobile_fm_ratio,0.636,dhs
IND.5_1,IND,2020,internet_women,20,dhs
IND.5_1,IND,2020,internet_men,40.2,dhs
IND.5_1,IND,2020,internet_fm_ratio,0.474,dhs
IND.5_1,IND,2020,mobile_women,50.5,dhs
IND.5_1,IND,2020,mobile_men,90.4,dhs
IND.5_1,IND,2020,mobile_fm_ratio,0.559,dhs
IND.6_1,IND,2020,internet_women,72.3,dhs
IND.6_1,IND,2020,internet_men,86.6,dhs
IND.6_1,IND,2020,internet_fm_ratio,0.793,dhs
IND.6_1,IND,2020,mobile_women,69.4,dhs
IND.6_1,IND,2020,mobile_men,91.2,dhs
IND.6_1,IND,2020,mobile_fm_ratio,0.761,dhs
IND.7_1,IND,2020,internet_women,26.9,dhs
IND.7_1,IND,2020,internet_men,54.1,dhs
