gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.2_1,mobile_women,37,9.96,2020-06
AFG,AFG.2_1,mobile_men,80.19,6.04,2020-06
AFG,AFG.2_1,mobile_fm_ratio,0.43,0.11,2020-06
AFG,AFG.2_1,internet_women,10.99,3.11,2020-06
AFG,AFG.2_1,internet_men,30.91,7.35,2020-06
AFG,AFG.2_1,internet_fm_ratio,0.22,0.09,2020-06
AFG,AFG.2_1,mobile_women,37.92,10.01,2021-06
AFG,AFG.2_1,mobile_men,76.02,6.05,2021-06
AFG,AFG.2_1,mobile_fm_ratio,0.43,0.11,2021-06
AFG,AFG.2_1,internet_women,10.88,3.17,2021-06
AFG,AFG.2_1,internet_men,30.99,7.26,2021-06
AFG,AFG.2_1,internet_fm_ratio,0.22,0.09,2021-06
AFG,AFG.2_1,mobile_women,32.44,9.83,2022-06
AFG,AFG.2_1,mobile_men,61.68,6.05,2022-06
AFG,AFG.2_1,mobile_fm_ratio,0.4,0.11,2022-06
AFG,AFG.2_1,internet_women,8.85,3.02,2022-06
AFG,AFG.2_1,internet_men,29.21,6.62,2022-06
AFG,AFG.2_1,internet_fm_ratio,0.17,0.08,2022-06
AFG,AFG.2_1,mobile_women,32.14,9.68,2023-06
AFG,AFG.2_1,mobile_men,61.2,6.05,2023-06
AFG,AFG.2_1,mobile_fm_ratio,0.4,0.11,2023-06
AFG,AFG.2_1,internet_women,8.34,2.93,2023-06
AFG,AFG.2_1,internet_men,29.13,6.54,2023-06
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2023-06
AFG,AFG.2_1,mobile_women,33.94,10,2024-01
AFG,AFG.2_1,mobile_men,63.92,6.05,2024-01
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-01
AFG,AFG.2_1,internet_women,9.62,2.96,2024-01
AFG,AFG.2_1,internet_men,30.59,6.61,2024-01
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2024-01
AFG,AFG.2_1,mobile_women,34.32,10.1,2024-02
AFG,AFG.2_1,mobile_men,64.22,6.05,2024-02
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-02
AFG,AFG.2_1,internet_women,9.72,3.02,2024-02
AFG,AFG.2_1,internet_men,30.9,6.66,2024-02
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-02
AFG,AFG.2_1,mobile_women,34.16,10.06,2024-03
AFG,AFG.2_1,mobile_men,64.17,6.05,2024-03
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-03
AFG,AFG.2_1,internet_women,9.72,2.98,2024-03
AFG,AFG.2_1,internet_men,30.78,6.63,2024-03
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2024-03
AFG,AFG.2_1,mobile_women,34.25,10.09,2024-04
AFG,AFG.2_1,mobile_men,64.33,6.04,2024-04
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-04
AFG,AFG.2_1,internet_women,9.77,2.97,2024-04
AFG,AFG.2_1,internet_men,30.82,6.63,2024-04
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2024-04
AFG,AFG.2_1,mobile_women,34.32,10.1,2024-05
AFG,AFG.2_1,mobile_men,64.5,6.04,2024-05
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-05
AFG,AFG.2_1,internet_women,9.74,3,2024-05
AFG,AFG.2_1,internet_men,30.91,6.64,2024-05
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-05
AFG,AFG.2_1,mobile_women,34.36,10.11,2024-06
AFG,AFG.2_1,mobile_men,64.55,6.04,2024-06
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-06
AFG,AFG.2_1,internet_women,9.78,3.05,2024-06
AFG,AFG.2_1,internet_men,30.93,6.67,2024-06
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-06
AFG,AFG.2_1,mobile_women,34.06,10.08,2024-07
AFG,AFG.2_1,mobile_men,64.4,6.04,2024-07
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-07
AFG,AFG.2_1,internet_women,9.75,3,2024-07
AFG,AFG.2_1,internet_men,30.61,6.64,2024-07
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2024-07
AFG,AFG.2_1,mobile_women,33.95,10,2024-08
AFG,AFG.2_1,mobile_men,64.45,6.04,2024-08
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-08
AFG,AFG.2_1,internet_women,9.64,3.05,2024-08
AFG,AFG.2_1,internet_men,30.73,6.62,2024-08
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-08
AFG,AFG.2_1,mobile_women,34.07,9.98,2024-09
AFG,AFG.2_1,mobile_men,65.21,6.03,2024-09
AFG,AFG.2_1,mobile_fm_ratio,0.42,0.11,2024-09
AFG,AFG.2_1,internet_women,9.74,3.07,2024-09
AFG,AFG.2_1,internet_men,31.8,6.6,2024-09
AFG,AFG.2_1,internet_fm_ratio,0.19,0.08,2024-09
AFG,AFG.2_1,mobile_women,33.94,10.03,2024-10
AFG,AFG.2_1,mobile_men,64.64,6.03,2024-10
AFG,AFG.2_1,mobile_fm_ratio,0.41,0.11,2024-10
AFG,AFG.2_1,internet_women,9.63,2.84,2024-10
AFG,AFG.2_1,internet_men,30.58,6.54,2024-10
AFG,AFG.2_1,internet_fm_ratio,0.18,0.08,2024-10
AFG,AFG.2_1,mobile_women,34.53,10.07,2024-11
AFG,AFG.2_1,mobile_men,65.81,6.03,2024-11
