gid_0,outcome,predicted,predicted_error,date
SVN,mobile_men,0.965,0.093,2024-06
SVK,internet_fm_ratio,0.997,0.041,2024-06
SVK,internet_women,0.891,3.247,2024-06
SVK,internet_men,0.894,2.142,2024-06
SVK,mobile_fm_ratio,0.992,0.041,2024-06
SVK,mobile_women,0.909,1.344,2024-06
SVK,mobile_men,0.894,0.093,2024-06
SUR,internet_fm_ratio,1.035,0.048,2024-06
SUR,internet_women,0.715,1.329,2024-06
SUR,internet_men,0.756,0.924,2024-06
SUR,mobile_fm_ratio,0.99,0.043,2024-06
SUR,mobile_women,0.867,1.126,2024-06
SUR,mobile_men,0.853,0.11,2024-06
STP,internet_fm_ratio,0.777,0.06,2024-06
STP,internet_women,0.497,0.544,2024-06
STP,internet_men,0.599,0.428,2024-06
STP,mobile_fm_ratio,1.016,0.042,2024-06
STP,mobile_women,0.719,1.071,2024-06
STP,mobile_men,0.725,0.09,2024-06
SSD,internet_fm_ratio,0.48,0.058,2024-06
SSD,internet_women,0.097,0.191,2024-06
SSD,internet_men,0.162,0.181,2024-06
SSD,mobile_fm_ratio,0.551,0.032,2024-06
SSD,mobile_women,0.326,1.766,2024-06
SSD,mobile_men,0.536,0.07,2024-06
SRB,internet_fm_ratio,0.963,0.04,2024-06
SRB,internet_women,0.821,2.017,2024-06
SRB,internet_men,0.855,1.361,2024-06
SRB,mobile_fm_ratio,1,0.041,2024-06
SRB,mobile_women,0.949,1.606,2024-06
SRB,mobile_men,0.947,0.092,2024-06
SOM,internet_fm_ratio,0.591,0.08,2024-06
SOM,internet_women,0.186,0.275,2024-06
SOM,internet_men,0.225,0.256,2024-06
SOM,mobile_fm_ratio,0.721,0.04,2024-06
SOM,mobile_women,0.413,1.055,2024-06
SOM,mobile_men,0.621,0.076,2024-06
SMR,internet_fm_ratio,1.038,0.037,2024-06
SMR,internet_women,0.802,5.707,2024-06
SMR,internet_men,0.82,3.696,2024-06
SMR,mobile_fm_ratio,1.002,0.035,2024-06
SMR,mobile_women,0.931,1.382,2024-06
SMR,mobile_men,0.943,0.085,2024-06
SLV,internet_fm_ratio,0.946,0.042,2024-06
SLV,internet_women,0.666,0.989,2024-06
SLV,internet_men,0.75,0.705,2024-06
SLV,mobile_fm_ratio,0.982,0.041,2024-06
SLV,mobile_women,0.761,1.074,2024-06
SLV,mobile_men,0.817,0.084,2024-06
SLE,internet_fm_ratio,0.569,0.061,2024-06
SLE,internet_women,0.215,0.31,2024-06
SLE,internet_men,0.267,0.281,2024-06
SLE,mobile_fm_ratio,0.784,0.044,2024-06
SLE,mobile_women,0.47,0.686,2024-06
SLE,mobile_men,0.673,0.098,2024-06
SLB,internet_fm_ratio,0.791,0.064,2024-06
SLB,internet_women,0.518,0.383,2024-06
SLB,internet_men,0.584,0.334,2024-06
SLB,mobile_fm_ratio,0.984,0.045,2024-06
SLB,mobile_women,0.708,0.965,2024-06
SLB,mobile_men,0.785,0.087,2024-06
